Institute_Type,College Name,City,Branch,Cutoff,Fees,Placement %,Avg Package,Highest Package,Scholarship
IIT,Indian Institute of Technology Kharagpur,Kharagpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Bombay,Mumbai,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Madras,Chennai,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Kanpur,Kanpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Delhi,New Delhi,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Guwahati,Guwahati,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Roorkee,Roorkee,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Ropar,Rupnagar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Bhubaneswar,Bhubaneswar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Gandhinagar,Gandhinagar,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Hyderabad,Hyderabad,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Jodhpur,Jodhpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Patna,Patna,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Indore,Indore,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Mandi,Mandi,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology (BHU) Varanasi,Varanasi,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Palakkad,Palakkad,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Tirupati,Tirupati,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Bhilai,Bhilai,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Goa,Ponda,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Dharwad,Dharwad,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology Jammu,Jammu,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
IIT,Indian Institute of Technology (ISM) Dhanbad,Dhanbad,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Agartala,Agartala,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Andhra Pradesh,Tadepalligudem,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Arunachal Pradesh,Yupia,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Calicut,Kozhikode,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Delhi,New Delhi,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Durgapur,Durgapur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Goa,Ponda,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Hamirpur,Hamirpur,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,"National Institute of Technology Karnataka, Surathkal",Mangaluru,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Kurukshetra,Kurukshetra,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
NIT,National Institute of Technology Manipur,Imphal,All UG programmes (duplicate row per branch from official brochure / seat matrix),"See JoSAA/CSAB closing ranks (program, category, round, year) — https://josaa.nic.in/",See official institute fee notification (tentative until confirmed with college),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute placement report / disclosure (definition varies),See institute scholarships + state/central schemes (eligibility varies)
