Academic_Year,CAP_Round,College_Name,Institute_Identifier_Notes,Program_Branch,Seat_Category_Code,Closing_Merit_No,Closing_Percentile,Official_Source_URL,Notes
2021-22,1,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2021-22,2,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2021-22,3,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2021-22,4,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2021-22,5,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2022-23,1,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2022-23,2,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2022-23,3,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2022-23,4,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
2022-23,5,"Vishwakarma Institute of Information Technology (VIIT), Pune — match spelling & choice code to each year’s seat matrix / CAP PDF",Institute / course code: fill from that year’s seat matrix PDF,B.Tech Computer Science and Engineering (example — duplicate template per branch),GOPEN (example — duplicate per category from PDF),,,,Paste cutoff from official CAP cutoff PDF; add document link in Official_Source_URL
